chr	start	end	strand
chr1	4677668	4678135	-
chr1	4758090	4758380	-
chr1	4759744	4761082	-
chr1	4762440	4773030	-
chr1	4774037	4775788	-
chr1	4775860	4777684	+
chr1	4796392	4797910	-
chr1	4797933	4813931	+
chr1	4815601	4816069	+
chr1	4817262	4819933	+
chr1	4822290	4824812	+
chr1	4826520	4843736	+
chr1	4844747	4865541	+
chr1	4845762	4847708	-
chr1	4866462	4874587	+
chr1	4875689	4886854	+
chr1	4888011	4899138	+
chr1	5072844	5074631	-
chr1	5073203	5100715	+
chr1	5104600	5157182	+
chr1	6181604	6190787	-
chr1	6191935	6205520	-
chr1	6204240	6242848	+
chr1	6244466	6276546	+
chr1	6443846	6444408	-
chr1	6443879	6446486	+
chr1	6448037	6451802	+
chr1	6453346	6471573	+
chr1	6473169	6501796	+
chr1	6505300	6523603	+
chr1	6525176	6527633	+
chr1	6528713	6552736	+
chr1	6558804	6577374	+
chr1	6578727	6616658	+
chr1	6620871	6626148	+
chr1	6627586	6636565	+
chr1	6639254	6653573	+
chr1	6654797	6666817	+
chr1	6667948	6679826	+
chr1	6684846	6685665	+
chr1	6689834	6694118	+
chr1	6695511	6698369	+
chr1	6699592	6720539	+
chr1	6721512	6723119	+
chr1	6724351	6738717	+
chr1	6740370	6744296	+
chr1	6756615	6757564	+
chr1	6762607	6763317	+
chr1	6765294	6766813	+
chr1	6767973	6771623	+
chr1	6773257	6773987	+
chr1	6786897	6788280	+
chr1	6791434	6793532	+
chr1	6794583	6795682	+
chr1	6799477	6800228	+
chr1	6801300	6801744	+
chr1	6802863	6803814	+
chr1	6810983	6811295	+
chr1	6815747	6816526	+
chr1	6821146	6821608	+
chr1	6822706	6825076	+
chr1	6826618	6828157	+
chr1	6830486	6830794	+
chr1	6832168	6835917	+
chr1	6838003	6849909	+
chr1	6852389	6854895	+
chr1	6856771	6858774	+
chr1	7077702	7078891	-
chr1	7079042	7167777	+
chr1	8836588	8837334	+
chr1	9181093	9181799	-
chr1	9534876	9535186	-
chr1	9535485	9539625	+
chr1	9541546	9542178	+
chr1	9578852	9579462	-
chr1	9690668	9691364	+
chr1	9706604	9724419	-
chr1	9726602	9738506	-
chr1	9737929	9738953	+
chr1	9787194	9789438	-
chr1	9788221	9799336	+
chr1	9800317	9826181	+
chr1	9827266	9851090	+
chr1	9852289	9865289	+
chr1	9866299	9869948	+
chr1	9871029	9900527	+
chr1	9883065	9883295	-
chr1	9925829	9932189	-
chr1	9932190	9934239	-
chr1	9933824	9935138	+
chr1	10009435	10028260	-
chr1	10028345	10031028	+
chr1	10035010	10039463	+
chr1	10047635	10075960	+
chr1	10077076	10077898	+
chr1	10078901	10079191	+
chr1	10080297	10082628	+
chr1	10085695	10089967	+
chr1	10093665	10096635	+
chr1	10100575	10107898	+
chr1	10113896	10116507	+
chr1	10118666	10151096	-
chr1	10120774	10121024	+
chr1	10123296	10123816	+
chr1	10125754	10126462	+
chr1	10127567	10129021	+
chr1	10152449	10223167	-
chr1	10222914	10224297	+
chr1	13124705	13180523	-
chr1	13181524	13188131	-
chr1	13189234	13197527	-
chr1	13204281	13229791	-
chr1	13230954	13327460	-
chr1	13329397	13364662	-
chr1	13362678	13366167	+
chr1	13416090	13416943	-
chr1	13416629	13417318	+
chr1	13550346	13579941	-
chr1	13579581	13580764	+
chr1	13604494	13606566	-
chr1	13610550	13650628	-
chr1	13650090	13651221	+
chr1	14184468	14186581	-
chr1	14187946	14189469	-
chr1	14191889	14193714	-
chr1	14214381	14219439	-
chr1	14225082	14226342	-
chr1	14240254	14242602	-
chr1	14248003	14248218	-
chr1	14249529	14257697	-
chr1	14258885	14261008	-
chr1	14262836	14264491	-
chr1	14279295	14280948	-
chr1	14282146	14282707	-
chr1	14285104	14285768	-
chr1	14292496	14294766	-
chr1	15795167	15796134	-
chr1	15795708	15796921	+
chr1	15797876	15812897	+
chr1	15817939	15826457	+
chr1	15828280	15833510	+
chr1	15834517	15843454	+
chr1	15845384	15848996	+
chr1	16086710	16095854	-
chr1	16094827	16103965	+
chr1	16105217	16106478	+
chr1	16107917	16109159	+
chr1	16110614	16112390	+
chr1	16113461	16113771	+
chr1	16120149	16128990	+
chr1	16329700	16329996	-
chr1	16335067	16335843	-
chr1	16384608	16385094	-
chr1	16418520	16421300	-
chr1	16425177	16426341	-
chr1	16429923	16430570	-
chr1	16433262	16434121	-
chr1	16450596	16451008	-
chr1	16492312	16493498	-
chr1	16544759	16596074	-
chr1	16597088	16609384	-
chr1	16609524	16609767	+
chr1	16627196	16647139	-
chr1	16647020	16647708	+
chr1	16655254	16672765	+
chr1	16677478	16679845	-
chr1	16678493	16699821	+
chr1	16704507	16706043	+
chr1	20786633	20789746	-
chr1	20792660	20796019	-
chr1	20806079	20807588	-
chr1	20809645	20810330	-
chr1	20880650	20880931	+
chr1	20941041	20941558	-
chr1	20980788	20981824	-
chr1	20983379	20992493	-
chr1	21021486	21023589	-
chr1	21024860	21026207	-
chr1	21044841	21046592	-
chr1	21049833	21058874	-
chr1	21060141	21061304	-
chr1	21066643	21067719	-
chr1	21068818	21069779	-
chr1	21069521	21070249	+
chr1	21208449	21208899	-
chr1	21208670	21209325	+
chr1	21502302	21502620	-
chr1	23271052	23272201	+
chr1	23276548	23277096	+
chr1	23291440	23291824	+
chr1	23372512	23378636	-
chr1	23383985	23384387	-
chr1	23387567	23390058	-
chr1	23390334	23390707	+
