chr	start	end	strand
chr1	4751194	4775788	-
chr1	4775860	4779294	+
chr1	4796392	4797910	-
chr1	4797933	4901980	+
chr1	4845762	4847708	-
chr1	5072844	5074631	-
chr1	5073203	5159097	+
chr1	6177290	6205520	-
chr1	6204240	6276546	+
chr1	6443879	6552736	+
chr1	6558804	6616658	+
chr1	6620871	6685665	+
chr1	6689834	6811295	+
chr1	6815747	6858774	+
chr1	7077702	7078891	-
chr1	7079042	7167777	+
chr1	8836588	8837334	+
chr1	8958450	8959289	-
chr1	9181093	9181799	-
chr1	9535485	9545043	+
chr1	9690668	9693034	+
chr1	9704706	9738506	-
chr1	9737929	9738953	+
chr1	9785999	9789438	-
chr1	9788221	9900527	+
chr1	9883065	9883295	-
chr1	9925829	9934239	-
chr1	9933824	9935138	+
chr1	10009435	10028260	-
chr1	10028345	10130298	+
chr1	10115841	10223167	-
chr1	10222914	10224297	+
chr1	13124705	13197527	-
chr1	13204281	13364662	-
chr1	13362678	13372862	+
chr1	13416629	13417318	+
chr1	13550346	13579941	-
chr1	13579581	13580764	+
chr1	13602960	13650628	-
chr1	13650090	13651221	+
chr1	14210932	14264491	-
chr1	14270500	14294766	-
chr1	15795167	15796134	-
chr1	15795708	15850818	+
chr1	16086710	16095854	-
chr1	16094827	16128990	+
chr1	16450596	16451008	-
chr1	16542053	16609384	-
chr1	16609524	16609767	+
chr1	16625390	16647139	-
chr1	16647020	16647708	+
chr1	16655254	16672765	+
chr1	16672177	16679845	-
chr1	16678493	16699821	+
chr1	16704507	16706043	+
chr1	20785063	20810330	-
chr1	20880650	20880931	+
chr1	20941041	20941558	-
chr1	20979269	21004664	-
chr1	21043546	21069779	-
chr1	21069521	21070249	+
chr1	21208449	21208899	-
chr1	21208670	21211759	+
chr1	21502302	21502620	-
chr1	23368618	23390058	-
chr1	23390334	23390707	+
chr1	23836328	23891383	-
chr1	23898708	23929168	-
chr1	23928669	23929930	+
chr1	24619546	24619993	-
chr1	24619556	24619995	+
chr1	24684802	24685382	-
chr1	24685492	24686633	+
chr1	24736641	24778152	+
chr1	24784663	24836138	+
chr1	30853614	30910399	-
chr1	30916771	30930998	-
chr1	30930797	30934765	+
chr1	30995874	31006935	-
chr1	31006225	31009112	+
chr1	31106761	31107089	-
chr1	31107372	31108339	+
chr1	33653056	33692077	-
chr1	33721993	33727226	-
chr1	33726654	33728408	+
chr1	33815000	33871273	-
chr1	34240890	34241358	+
chr1	34245775	34248697	+
chr1	34365143	34365490	+
chr1	34469160	34473986	-
chr1	34481312	34496534	-
chr1	34490240	34508195	+
chr1	34521166	34538916	+
chr1	34521211	34530052	-
chr1	34540043	34542792	-
chr1	34858299	34908540	-
chr1	34858551	34874216	+
chr1	34898694	34900687	+
chr1	34906556	34945120	+
chr1	34915130	34915682	-
chr1	36122074	36166678	+
chr1	36176806	36301190	-
chr1	36183812	36193166	+
chr1	36301267	36303145	+
chr1	36316271	36330344	-
chr1	36319213	36319616	+
chr1	36327735	36330761	+
chr1	36364570	36384294	+
chr1	36381138	36426003	-
chr1	36467888	36503381	-
chr1	36503187	36503610	+
chr1	36526908	36528304	-
chr1	36527155	36529828	+
chr1	36561547	36591913	+
chr1	36584506	36614369	-
chr1	36613487	36616629	+
chr1	36747807	36748256	-
chr1	36748380	36753223	+
chr1	36753181	36766821	-
chr1	36766012	36767238	+
chr1	36845247	36997416	-
chr1	36996801	36997627	+
chr1	37356708	37499761	+
chr1	37472556	37486897	-
chr1	37529177	37554268	-
chr1	37849491	37906249	-
chr1	37912464	37922067	-
chr1	37921797	37922680	+
chr1	37928836	37947251	-
chr1	37929006	37931100	+
chr1	37947000	37959655	+
chr1	38038715	38054921	-
chr1	38053814	38115727	+
chr1	38100203	38186559	-
chr1	38186669	38187139	+
chr1	39044254	39044560	-
chr1	39044658	39057758	+
chr1	39349949	39350401	+
chr1	39420969	39435251	+
chr1	39422579	39539230	-
chr1	39535660	39543587	+
chr1	39550195	39550913	+
chr1	39559621	39560304	-
chr1	39592573	39605787	+
chr1	39596879	39640126	-
chr1	39647297	39647950	+
chr1	39658907	39659461	-
chr1	39670284	39708144	-
chr1	39671485	39672182	+
chr1	39693183	39693656	+
chr1	39707016	39709740	+
chr1	39743735	39744297	-
chr1	39792984	39793621	+
chr1	39816284	39819525	+
chr1	39818300	39818936	-
chr1	39957411	39958200	-
chr1	39957830	40093469	+
chr1	40281941	40387900	+
chr1	40557352	40557624	+
chr1	40657533	40691894	+
chr1	40846915	40847522	-
chr1	40847577	40849396	+
chr1	42908110	42969369	+
chr1	43098865	43155525	-
chr1	43149378	43181908	+
chr1	43502613	43642791	+
chr1	43530612	43531522	-
chr1	43791456	43824948	-
chr1	43851669	43884626	-
chr1	43884848	43887087	+
chr1	43986020	43990757	-
chr1	43990505	44072926	+
chr1	44154158	44176806	-
chr1	44158481	44159626	+
chr1	44175801	44193981	+
chr1	44198162	44240886	+
chr1	44204364	44204631	-
chr1	44520783	44521094	-
chr1	45368476	45410074	+
chr1	45427413	45439086	-
chr1	45450561	45453006	-
chr1	45493123	45499715	-
